pais,sede_id,red_social,url
Algeria,EARGE,facebook,facebook.com/ArgentinaEnArgelia
Algeria,EARGE,instagram,https://instagram.com/argenargelia
Algeria,EARGE,twitter,https://twitter.com/ARGenArgelia
Angola,EANGO,facebook,https://www.facebook.com/ArgentinaEnAngola/
Angola,EANGO,instagram,https://www.instagram.com/embargentinaenangola/
Armenia,EARME,facebook,https://www.facebook.com/ArgentinaEnArmenia
Armenia,EARME,instagram,https://www.instagram.com/arginarmenia/
Armenia,EARME,twitter,https://twitter.com/ARGinArmenia
Australia,CSIDN,facebook,https://www.facebook.com/ArgentinaEnSidney/
Australia,CSIDN,instagram,https://www.instagram.com/argentinaensydney/
Australia,EAUST,facebook,https://www.facebook.com/ArgentinaEnAustralia/
Australia,EAUST,twitter,https://twitter.com/ARGinAustralia
Austria,ETRIA,facebook,https://www.facebook.com/ArgentinaEnAustria/
Austria,ETRIA,instagram,https://www.instagram.com/argenviena/
Austria,ETRIA,twitter,https://twitter.com/ARGenViena
Azerbaijan,EAZER,facebook,https://www.facebook.com/EmbassyOfArgentina/
Azerbaijan,EAZER,instagram,www.instagram.com/embargentinaaz
Azerbaijan,EAZER,twitter,www.twitter.com/ARGEnAzer
Bangladesh,EBANG,otra,EmbARGenBGD
Bangladesh,EBANG,otra,embajada.argentina.en.bangladesh
Bangladesh,EBANG,otra,embargenbgd
Bangladesh,EBANG,otra,https://www.linkedin.com/showcase/argenbangladesh/
Barbados,EBARB,facebook,https://www.facebook.com/ArgentinaEnBarbados/
Belgium,EBELG,facebook,https://www.facebook.com/ArgentinaEnBelgica/
Belgium,EBELG,instagram,https://www.instagram.com/argenbelgica/
Belgium,ECEUR,facebook,https://www.facebook.com/ARGanteUE
Belgium,ECEUR,instagram,https://www.instagram.com/arganteue/
Belgium,ECEUR,otra,https://www.linkedin.com/company/arganteue
Belgium,ECEUR,twitter,https://twitter.com/ARGanteUE
Belgium,ECEUR,youtube,https://www.youtube.com/@ARGanteUE
Bolivia,CCOCH,facebook,https://www.facebook.com/ArgentinaEnCochabamba/
Bolivia,CSCRS,facebook,https://www.facebook.com/profile.php?id=100069410160459&mibextid=ZbWKwL
Bolivia,CSCRS,instagram,www.instagram.com/consuladoargentinoscz
Bolivia,CVILL,facebook,https://www.facebook.com/ConsuladoArgentinoenVillazon
Bolivia,CVILL,twitter,https://twitter.com/ArgentinaenVill
Bolivia,EBOLV,facebook,https://www.facebook.com/EmbajadaArgentinaBolivia
Bolivia,EBOLV,instagram,https://www.instagram.com/embajada_argentina_en_bolivia/
Bolivia,EBOLV,twitter,https://twitter.com/embaargbolivia
Brazil,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
Brazil,CALEG,instagram,https://www.instagram.com/argenportoalegre/
Brazil,CALEG,twitter,https://twitter.com/ArgPortoAlegre
